name,address,latitude,longitude,opening_hours,website,instagram,map_link,map_embed
ボディ＆ソウル,〒150-0042 東京都渋谷区宇田川町２−１ B-15,35.66379810000001,139.6989183,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJPWYRwWaLGGARKYcLXLVXaro
Jazz bar 琥珀,〒150-0042 東京都渋谷区宇田川町１７−１ ブラザービル 6F,35.6607705,139.6994182,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ-RdxiF2NGGAR-mcVbKkTg9g
The Room,〒150-0031 東京都渋谷区桜丘町15−１９ 第八東都ビル B1F,35.6564984,139.7015973,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJE_8851mLGGARXlmYywlQoSs
THE MUSIC BAR -CAVE SHIBUYA-,〒150-0002 東京都渋谷区渋谷１丁目１５−１２ B1F LAIDOUT SHIBUYA,35.6608436,139.70298409999998,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJSZ7DkMGNGGARDBKSX-n_p_E
JZ Brat SOUND OF TOKYO,〒150-0031 東京都渋谷区桜丘町２６−１ セルリアンタワー東急ホテル2F,35.6561375,139.6992872,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ2ehjBVeLGGARo4AD4defDA8
JBS Jazz Blues Soul Bar,〒150-0043 東京都渋谷区道玄坂１丁目１７−１０ 第二宝ビル ２F,35.6570266,139.69675680000003,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJjT5KDVaLGGARJS6OOWk2Jzg
渋谷swing,〒150-0047 東京都渋谷区神山町１６−４ Villa Metropolis 4F,35.6631909,139.69410779999998,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJd7QpWqyMGGAR7iRV0fluA_o
ＫＯ−ＫＯ・ＦＲＯＭ・ＳＯＮＯＫＡ,〒150-0043 東京都渋谷区道玄坂２丁目２６−５,35.6593018,139.697113,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJT7fq7KmMGGARNFsnaDyno-M
ミュージック,〒150-0043 東京都渋谷区道玄坂１丁目６−７ 5F,35.6577398,139.69908110000003,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJIy90yVeLGGAR-a1MTH0zQkc
Pres Jazz Bar,〒150-0042 東京都渋谷区宇田川町３０−４ 新岩崎ビル B1 (入口は1階,35.6607708,139.6979389,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJI7I9p6mMGGARSfQcRoVEcpQ
music bar 45,〒150-0031 東京都渋谷区桜丘町１７−１０ 吉野ビル 2階,35.6562573,139.7010819,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJfZg0XFeLGGAR5UjGMTKXJqQ
SOUND BAR HOWL,〒150-0043 東京都渋谷区道玄坂１丁目１８−８ プラザ仁科屋ビルB1F,35.657396399999996,139.696427,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJkUdrj16JGGARVPyhyXyv940
BLUE NOTE PLACE,〒150-0013 東京都渋谷区恵比寿４丁目２０−４,35.6427534,139.7129938,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ-eMeULeLGGARAciOIhznbPQ
レザール,〒150-0033 東京都渋谷区猿楽町２−５ 佐藤エステートビル ３号館 ２Ｆ,35.652955399999996,139.7048524,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJL6DrO1uLGGARoAIurmoIld8
渋谷 nob,〒150-0044 東京都渋谷区円山町１−３ 猪鼻ビル B1F,35.659607099999995,139.69539930000002,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJWcfFM6qMGGARjKFeOmGnF5I
Rock Music Bar star star,〒150-0031 東京都渋谷区桜丘町１７−１０ 吉野ビル 3F,35.6562489,139.7010906,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ-xwzXFeLGGARTRVKEAqD_gU
渋谷Tangle,〒150-0043 東京都渋谷区道玄坂１丁目１７−２ 第二野々ビル 301号室,35.6570082,139.6972625,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ85eUa1aLGGARe8cleuvo3_A
B.Y.G,〒150-0043 東京都渋谷区道玄坂２丁目１９−１４,35.659213699999995,139.69646799999998,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJF6s2i6mMGGARSL1W3KJWiU0
ブルーノート東京,〒107-0062 東京都港区南青山６丁目３−１６,35.6612139,139.7162296,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJmYBOrGaLGGARUHAVps9SV9k
Ruby Room,〒150-0043 東京都渋谷区道玄坂２丁目２５−１７,35.6595444,139.6976,,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJUexPwKmMGGARFlS7FMcj0yw
