name,address,latitude,longitude,opening_hours,website,instagram,map_embed
TK NIGHTCLUB,〒150-0042 東京都渋谷区宇田川町１３−８ B1,35.660941099999995,139.6985674,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJi9W-AKmMGGARgTIvRY42-po
Circus Tokyo,〒150-0002 東京都渋谷区渋谷３丁目２６−１６ 第５叶ビル 1F/B1F,35.65417,139.705579,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJIyRAbluLGGARpgHX0qKdaDc
ATOM TOKYO -Shibuya-,〒150-0044 東京都渋谷区円山町２−４ ドクタージーカンズビル 4F/6F,35.658305899999995,139.6954048,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJgQQtEqqMGGAR0lBz9of3YVI
DJ BAR OATH,〒150-0043 東京都渋谷区道玄坂１丁目６−５ 東静ビル 地下１階,35.65772,139.699199,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJewLQtleLGGARbdCCxq3Jmko
エンター,〒150-0002 東京都渋谷区神宮前６丁目１９−１７ GEMS神宮前 6F,35.663763599999996,139.7023757,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJxV9IlbmLGGART_WEpX1ocSA
WOMB,〒150-0044 東京都渋谷区円山町２−１６,35.6584234,139.69494509999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJQVW_FKqMGGARQwUFx1IqoEc
BRAND SHIBUYA - ブランド渋谷 バー＆ラウンジ,〒150-0043 東京都渋谷区道玄坂２丁目２３−１３ 渋谷デリタワービル B1F,35.6601085,139.69613310000003,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJybIt9OyNGGARQJBiLZ1vpn0
HARLEM,〒150-0044 東京都渋谷区円山町２−４ Dr−２−４ ドクタージーカンズビル 2F・3F,35.658305999999996,139.69527390000002,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJS9rHE6qMGGARShO63ATTEow
ボノボ,〒150-0001 東京都渋谷区神宮前２丁目２３−４,35.6745665,139.7110979,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJN83gY72MGGARoGwlh7sSuWQ
clubasia,〒150-0044 東京都渋谷区円山町１−８,35.6589974,139.6953088,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJVVUBPKqMGGARiXgNlzpNTaU
